art_style,painting,emotion,utterance,repetition,artist_parsed,artwork_parsed,year_parsed,artist_key,artwork_key,link
Impressionism,claude-monet_seine-at-asnieres-1873,contentment,"Still water reflects a clear, quiet day in this area",46,Claude Monet,Seine At Asnieres,1873.0,claude monet,seine at asnieres,https://uploads5.wikiart.org/images/claude-monet/seine-at-asnieres-1873.jpg
Impressionism,claude-monet_seine-at-asnieres-1873,awe,The relections of the boats are painted with very fluffy brush strokes.,46,Claude Monet,Seine At Asnieres,1873.0,claude monet,seine at asnieres,https://uploads5.wikiart.org/images/claude-monet/seine-at-asnieres-1873.jpg
Impressionism,claude-monet_seine-at-asnieres-1873,contentment,The scene looks very calm and the blues remind me of a calm spring day,46,Claude Monet,Seine At Asnieres,1873.0,claude monet,seine at asnieres,https://uploads5.wikiart.org/images/claude-monet/seine-at-asnieres-1873.jpg
Impressionism,claude-monet_seine-at-asnieres-1873,contentment,I like the Reflections in the water of this image it makes me feel calm and relaxed,46,Claude Monet,Seine At Asnieres,1873.0,claude monet,seine at asnieres,https://uploads5.wikiart.org/images/claude-monet/seine-at-asnieres-1873.jpg
Impressionism,claude-monet_seine-at-asnieres-1873,excitement,I feel excited by the artist's decision to include prosaic items like docks in a beautiful cityscape painting.,46,Claude Monet,Seine At Asnieres,1873.0,claude monet,seine at asnieres,https://uploads5.wikiart.org/images/claude-monet/seine-at-asnieres-1873.jpg
Impressionism,claude-monet_seine-at-asnieres-1873,contentment,The city and dock are peaceful and quiet.,46,Claude Monet,Seine At Asnieres,1873.0,claude monet,seine at asnieres,https://uploads5.wikiart.org/images/claude-monet/seine-at-asnieres-1873.jpg
Impressionism,claude-monet_seine-at-asnieres-1873,excitement,The use of different and vivid colors give an impression of excitement and joy which has been portrayed well by the artist.,46,Claude Monet,Seine At Asnieres,1873.0,claude monet,seine at asnieres,https://uploads5.wikiart.org/images/claude-monet/seine-at-asnieres-1873.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,amusement,I am amused that this is considered a masterpiece of modern art.  Roy Lichtenstein special.,44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,excitement,The contrast between the bright yellow and the black/white background looks really bold and exciting,44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,amusement,"It looks like a comical scene, bright yellows and deep blacks remind me of witches",44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,something else,"This makes me feel intrigue trying to decipher what the colors in the bowl are making, i love the cartoonish style.",44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,awe,The  powder being poured it wash machine is forming shapes that look like claws and a venes fly trap.,44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,sadness,This looks like a woman trying to do laundry with her nails done.,44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,contentment,This person appears to be pouring pancake mix out onto a stovetop to make breakfast.,44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,amusement,It looks like a combination of some one cooking or doing laundry,44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Pop_Art,roy-lichtenstein_washing-machine-1961,disgust,I dont like the yellow color mixed with the white because it is weird to me.,44,Roy Lichtenstein,Washing Machine,1961.0,roy lichtenstein,washing machine,https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg
Realism,camille-corot_lonesome-valley-1874,disgust,"The sky is such a dim, dark gray color that it must be filled with pollution and smoke",46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,awe,The vegetation looks like it is being tormented by strong wind.,46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,disgust,The trees and sky do not seem to work together at all.,46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,something else,There is almost nothing going on in the forest so I am bored,46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,contentment,"The greens here blend together well, and it makes me feel at ease.",46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,something else,I feel curious about this painting why are the trees growing on a severe slant un the hill.,46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,something else,I feel an impending storm is on the way.,46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,fear,"The dark shading, the way the trees bend and the dark clouds in the distance makes it look like the beginning of a bad storm.",46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,camille-corot_lonesome-valley-1874,sadness,It looks gloomy and window and like a long lonely journey ahead.,46,Camille Corot,Lonesome Valley,1874.0,camille corot,lonesome valley,https://uploads4.wikiart.org/images/camille-corot/lonesome-valley-1874.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,awe,"I want to know what's in the house, because it's placement makes me curious.",44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,fear,I'm sure there are alligators in this swamp!,44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,fear,The misty swamp fills me with fear of monsters lurking within.,44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,contentment,"The natural green color around this river scene with shack and boat has a natural, home like feeling.",44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,fear,The contrast of the sky to the dark of the woods is not inviting,44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,fear,"""You should stay away from the cabin of buggery, out on Dipsuwannee Bayou.""",44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,contentment,"The area is very wide open and the bridge and cabin are surrounded by nature, which makes it look like a nice, calm, quaint place.",44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,awe,The large trees appear to sway back and forth.,44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Symbolism,frantisek-kupka_money-1899,fear,"The naked woman is standing in front of a man who is kneeling. The man is holding a bag of coins (maybe?). It makes me think he is buying the woman. There are horns and miscellaneous shapes in the dark background. The woman is lovely and not threatening, but the rest of the painting makes me feel uncomfortable.",44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Symbolism,frantisek-kupka_money-1899,something else,"The naked woman seems to be walking through a kind of hell, but I am confused as to what the man is holding and why.",44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Symbolism,frantisek-kupka_money-1899,disgust,The man is gross and deformed and the demons in the shadows obviously expect a sex act between the nude woman and the smug man.,44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Symbolism,frantisek-kupka_money-1899,something else,I am incredibly confused about what weirdness is going on here.,44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Symbolism,frantisek-kupka_money-1899,something else,Don't care for 'nude' portraits..his stomach is entirely too big and shiny. This a very bizarre painting with 'monkey shadows' in the background.,44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Symbolism,frantisek-kupka_money-1899,anger,"I feel angry that this woman is standing here naked while a naked elf creature holds an orb looking at her, all because I think this is creeping me out.",44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Symbolism,frantisek-kupka_money-1899,disgust,"As the naked woman walks by, the man on the floor jeers at her and there is a monster/alien creature highlighted in blood red watching from behind the man as the woman walks into the darkness.",44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Symbolism,frantisek-kupka_money-1899,excitement,she looks beautiful she is having fun,44,Frantisek Kupka,Money,1899.0,frantisek kupka,money,https://uploads5.wikiart.org/images/frantisek-kupka/money-1899.jpg
Color_Field_Painting,anne-appleby_appleby-2011,contentment,"Blank white, eggshell perhaps, covers these three panels. It is calming to look at, nothing stimulating, just quiet blankness, like a clear mind.",43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,something else,This makes me feel bored as there are no contrasting colors. It only is tan and looks bland.,43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,something else,"I like the color of the panels but, I think it is boring.",43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,something else,It just looks like simply three bricks lying side by side,43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,something else,"i don't really get this one, it does not look finished",43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,something else,this reminds me of one of those old time make up pallets,43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,amusement,This painting is just strips of beige which reminds me of a bowl of oatmeal.,43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,amusement,what.. is... this?  three blank panels.  i honestly don't really understand the appeal here.,43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Color_Field_Painting,anne-appleby_appleby-2011,contentment,The shapes of the three objects are very similar making the viewer feel strangely contented,43,Anne Appleby,Appleby,2011.0,anne appleby,appleby,https://uploads4.wikiart.org/images/anne-appleby/appleby-2011.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,contentment,Everyone seems to be having a great Sunday afternoon in the park.,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,sadness,It's aggravating that the horses are being forced to pull wagons around when the people are perfectly capable of walking themselves.,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,contentment,The Victorian scenery looks almost as if it was cut from La Grande Jatte.,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,excitement,It looks like an old time carriage race and I like betting on horse races.,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,disgust,This looks like rich people enjoying money they didn't earn.,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,amusement,Everyone at the picnic is having a fantastic time!,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,amusement,This looks like an enjoyable gathering at the turn of the 20th century.,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,awe,This painting reminds the viewer of the classics. The composition and colors inspire a feeling of awe.,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Impressionism,giuseppe-de-nittis_return-from-the-races,something else,Seeing everyone together outside gives me a sense of togetherness and being happy .,45,Giuseppe De Nittis,Return From The Races,,giuseppe de nittis,return from the races,https://uploads1.wikiart.org/images/giuseppe-de-nittis/return-from-the-races.jpg
Color_Field_Painting,morris-louis_aurora-1958,contentment,The figure looks like a giant vase.,46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Color_Field_Painting,morris-louis_aurora-1958,fear,"This looks like a creepy, poorly developed photo from a horror movie someone took on their camera while running from a killer.",46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Color_Field_Painting,morris-louis_aurora-1958,something else,It doesn't make me feel much of anything because it looks like the back of a chair.,46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Color_Field_Painting,morris-louis_aurora-1958,something else,looks like the back of a bar chair but cant be for sure,46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Color_Field_Painting,morris-louis_aurora-1958,something else,The oblong shape in the center is difficult to reconcile.,46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Color_Field_Painting,morris-louis_aurora-1958,disgust,This looks like a really old wooden chair with a lot of imperfections and blemishes. I don't really like it.,46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Color_Field_Painting,morris-louis_aurora-1958,amusement,It looks like somebody started to paint a chair but got bored and stopped  after they were almost done with the back.,46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Color_Field_Painting,morris-louis_aurora-1958,contentment,It looks like a flower petal under a magnifying glass that is slightly out of focus.,46,Morris Louis,Aurora,1958.0,morris louis,aurora,https://uploads3.wikiart.org/images/morris-louis/aurora-1958.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,sadness,Imagining the pain and feelings that Jesus felt on the cross is saddening.,45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,sadness,Everybody is looking over the body at the cross.,45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,awe,I love the deep rich colors and power of the painting,45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,contentment,"A basic yet strong religious depiction with great details on every person represented in this piece. Love the colors the artist used to on the clothes, shows very traditional.",45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,awe,The women are filled with sadness to witness the man on the cross.,45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,sadness,It's the symbol for the death for all man.,45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,sadness,Jesus is dying at the cross for mankind's sins and everyone is in mourning,45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
Northern_Renaissance,hans-memling_triptych-of-jan-crabbe-1470,sadness,The clothes of the priests and praying observers are from a much later period in history.,45,Hans Memling,Triptych Of Jan Crabbe,1470.0,hans memling,triptych of jan crabbe,https://uploads1.wikiart.org/images/hans-memling/triptych-of-jan-crabbe-1470.jpg
New_Realism,edward-hopper_light-at-two-lights,contentment,"The pristine white painted building and lighthouse give a clean, simple feel.",46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,awe,I feel like I am at this lighthouse. It is so pretty.,46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,awe,It is a gorgeous lighthouse with a great deal of detail in it.,46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,awe,The lighthouse has a fresher white that makes it look new and more industrial,46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,contentment,"I love the thought of the great view from the top of the light house and I love the bright day full of sunshine, it looks so inviting.",46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,contentment,"This is such a cute, quaint looking little light house. It makes me want to go visit the beach.",46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,awe,Very well designed and painted lighthouse. The shading to give it depth is done very well.,46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,fear,"Lighthouses can be quite spooky, remnants of a bygone age.",46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
New_Realism,edward-hopper_light-at-two-lights,awe,The light house stands tall and proud on the hill.,46,Edward Hopper,Light At Two Lights,,edward hopper,light at two lights,https://uploads3.wikiart.org/images/edward-hopper/light-at-two-lights.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,something else,"Have NO idea what this portrait is about.  An old man with a walking stick..walking in a mountainous area, near a river or lake, mute colors.",53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,amusement,"This sense of scale makes me snicker, because that means this man is a giant.",53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,contentment,the village on the hilltop feels protected and safe and the man in the painting looks to feel the same,53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,contentment,The peaceful waters and the vibrant contrast of the cool and warm colors alongside the elderly man walking alone on a path.,53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,contentment,The man walks the long winding path without fear.,53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,contentment,The calm blue tones and the image of the old man create a calming effect in the soul.,53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,something else,"I'm curious. What is he doing? Tapping a rock with his cane or his he holding a hoe in his hand, tilling the ground?",53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,fear,"This man could be a priest, but the sharp angles of the photo remind me of death.",53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,sadness,This man looks old and near death since his beard is so long and white,53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Fauvism,louis-valtat_flowers-still-life,disgust,The flowers look nice but like they are surrounded by maggots.,44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,I am content to look at this pretty picture of flowers in a vase.,44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,I feel content when I look at this picture as the flowers painted here are beautiful.,44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,excitement,The bright reds/pink and white flowers with sunny yellows contrast nicely and bring this plant to life. Very uplifting.,44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,"It's a happy still life of a vase full of flowers.  The brush strokes are heavy, it gives the painting texture.",44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,i love the colors of the flowers in this painting -especially the red and the blue --  i also love how the brushstrokes show the details,44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,disgust,"The green in this painting just seems unappealing to me, it makes me think of a booger.",44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,"I think these are poppies, but, not sure, but, their colors are magnificent, vibrant and charming",44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Fauvism,louis-valtat_flowers-still-life,contentment,"This impressionist painting of flowers in a vase makes me feel very content, because the soft rounded strokes give a warm and feminine impression of the beautiful flowers. It is subtle, not forceful.",44,Louis Valtat,Flowers Still Life,,louis valtat,flowers still life,https://uploads1.wikiart.org/images/louis-valtat/flowers-still-life.jpg
Impressionism,marianne-north_red-sea-1880,contentment,Looking at this picture I feel at ease and relaxed. Anytime I look at the sunset I feel warm and calmed inside and this picture is replicating those feelings.,47,Marianne North,Red Sea,1880.0,marianne north,red sea,https://uploads6.wikiart.org/images/marianne-north/red-sea-1880.jpg
Impressionism,marianne-north_red-sea-1880,contentment,The red fog and yellow linear shadow cast by the setting sun create a pleasant ocean scene.,47,Marianne North,Red Sea,1880.0,marianne north,red sea,https://uploads6.wikiart.org/images/marianne-north/red-sea-1880.jpg
Impressionism,marianne-north_red-sea-1880,contentment,The pleasant pastel colors of the sunset over the calm ocean waters gives a sense of serenity.,47,Marianne North,Red Sea,1880.0,marianne north,red sea,https://uploads6.wikiart.org/images/marianne-north/red-sea-1880.jpg
Impressionism,marianne-north_red-sea-1880,contentment,Sunrises make me feel peaceful.   The colors are cheerful but not lively.,47,Marianne North,Red Sea,1880.0,marianne north,red sea,https://uploads6.wikiart.org/images/marianne-north/red-sea-1880.jpg
Impressionism,marianne-north_red-sea-1880,awe,The sunset looks very beautiful against the ocean.,47,Marianne North,Red Sea,1880.0,marianne north,red sea,https://uploads6.wikiart.org/images/marianne-north/red-sea-1880.jpg
